primary_id,city,country
27,München,Deutschland
16,Dortmund,Deutschland
15,Leverkusen,Deutschland
23826,Leipzig,Deutschland
89,Berlin,Deutschland
60,Freiburg im Breisgau,Deutschland
3,Köln,Deutschland
39,Mainz,Deutschland
533,Zuzenhausen,Deutschland
18,Mönchengladbach,Deutschland
24,Frankfurt am Main,Deutschland
82,Wolfsburg,Deutschland
80,Bochum,Deutschland
167,Augsburg,Deutschland
79,Stuttgart,Deutschland
44,Berlin,Deutschland
33,Gelsenkirchen,Deutschland
86,Bremen,Deutschland
10,Bielefeld,Deutschland
65,Fürth,Deutschland
41,Hamburg,Deutschland
105,Darmstadt,Deutschland
35,Hamburg,Deutschland
2036,Heidenheim,Deutschland
127,Paderborn,Deutschland
4,Nürnberg,Deutschland
269,Kiel,Deutschland
38,Düsseldorf,Deutschland
42,Hannover,Deutschland
48,Karlsruhe,Deutschland
30,Rostock,Deutschland
254,Sandhausen,Deutschland
109,Regensburg,Deutschland
187,Magdeburg,Deutschland
23,Braunschweig,Deutschland
2,Kaiserslautern,Deutschland
129,Dresden,Deutschland
94,Aue,Deutschland
4795,Ingolstadt,Deutschland
72,München,Deutschland
85,Mannheim,Deutschland
81,Osnabrück,Deutschland
1,Saarbrücken,Deutschland
108,Wiesbaden,Deutschland
17,Dortmund,Deutschland
275,Zwickau,Deutschland
245,Freiburg im Breisgau,Deutschland
247,Meppen,Deutschland
1622,Köln,Deutschland
440,Halle (Saale),Deutschland
52,Duisburg,Deutschland
93,Verl,Deutschland
752,Bayreuth,Deutschland
56,Essen,Deutschland
64,St. Ingbert ,Deutschland
166,Oldenburg,Deutschland
11,London,England
405,Birmingham,England
989,Bournemouth,England
1148,London,England
1237,Brighton,England
631,London,England
873,London,England
29,Liverpool,England
931,London,England
399,Leeds,England
1003,Leicester,England
31,Liverpool,England
281,Manchester,England
985,Manchester,England
762,Newcastle upon Tyne,England
703,West Bridgford,England
180,Southampton,England
148,London,England
379,London,England
543,Wolverhampton,England
418,Madrid,Spanien
131,Barcelona,Spanien
368,Sevilla,Spanien
13,Madrid,Spanien
681,Donostia-San Sebastián (Gipuzkoa),Spanien
150,Sevilla,Spanien
1050,Villarreal,Spanien
621,Bilbao-Bilbo (Bizkaia),Spanien
1049,Valencia,Spanien
331,Pamplona,Spanien
1531,Elche (Alicante),Spanien
940,Vigo,Spanien
714,Barcelona,Spanien
367,Madrid,Spanien
3709,Getafe (Madrid),Spanien
237,Palma de Mallorca,Spanien
2687,Cádiz,Spanien
3302,Almería,Spanien
366,Valladolid,Spanien
12321,Girona,Spanien
5,Milano,Italien
46,Milano,Italien
6195,Napoli,Italien
506,Torino,Italien
398,Roma,Italien
12,Roma,Italien
430,Firenze,Italien
800,Bergamo,Italien
276,Verona,Italien
416,Torino,Italien
6574,Sassuolo,Italien
410,Udine,Italien
1025,Bologna,Italien
749,Empoli,Italien
1038,Genova,Italien
3522,La Spezia,Italien
380,Salerno,Italien
1005,Lecce,Italien
2239,Cremona,Italien
2919,Monza,Italien
449,Trabzon,Türkei
36,Kadıköy / İstanbul,Türkei
2293,"Selçuklu, Konya",Türkei
6890,Istanbul,Türkei
11282,"Alanya, Antalya",Türkei
114,Beşiktaş / İstanbul,Türkei
589,Muratpaşa/ANTALYA,Türkei
6646,"Fatih, İstanbul",Türkei
3840,"Seyhan, Adana",Türkei
2381,SİVAS,Türkei
10484,Kasımpaşa/İSTANBUL,Türkei
7775,HATAY,Türkei
141,Sarıyer / İstanbul,Türkei
3205,KAYSERİ ,Türkei
2832,Şahinbey / Gaziantep,Türkei
11688,Giresun,Türkei
868,Yenimahalle/Ankara,Türkei
24245,Ümraniye/İSTANBUL,Türkei
924,Büyükçekmece / İstanbul,Türkei
583,Paris,Frankreich
244,Marseille,Frankreich
162,Monaco,Monaco
273,Rennes,Frankreich
417,Nice,Frankreich
667,Strasbourg,Frankreich
826,Avion,Frankreich
1041,Décines-Charpieu,Frankreich
995,La Chapelle-sur-Erdre,Frankreich
1082,Camphin-en-Pévèle,Frankreich
3911,Brest,Frankreich
1421,Reims,Frankreich
969,Montpellier,Frankreich
1420,Angers,Frankreich
1095,Pont-Sainte-Maries,Frankreich
1158,Lorient,Frankreich
3524,Clermont-Ferrand,Frankreich
415,Toulouse,Frankreich
1147,Ajaccio,Frankreich
290,Auxerre,Frankreich
610,Amsterdam,Niederlande
1090,Alkmaar,Niederlande
133,Leeuwarden,Niederlande
1283,Emmen,Niederlande
798,Rotterdam,Niederlande
234,Rotterdam,Niederlande
385,Sittard,Niederlande
1435,Deventer,Niederlande
202,Groningen,Niederlande
306,Heerenveen ,Niederlande
467,Nijmegen,Niederlande
383,Eindhoven,Niederlande
235,Waalwijk,Niederlande
468,Rotterdam,Niederlande
317,Enschede,Niederlande
200,Utrecht,Niederlande
499,Arnhem,Niederlande
724,Volendam,Niederlande
409,Wals-Siezenheim,Österreich
122,Graz,Österreich
14,Wien,Österreich
4441,Wolfsberg,Österreich
170,Wien,Österreich
28760,Klagenfurt,Österreich
2446,Wattens,Österreich
413,Pasching ,Österreich
3551,Altach,Österreich
266,Ried im Innkreis,Österreich
4467,Hartberg,Österreich
541,Lustenau,Österreich
260,Zürich,Schweiz
26,Basel,Schweiz
452,Bern,Schweiz
2790,Lugano,Schweiz
257,St. Gallen,Schweiz
61,Carouge,Schweiz
321,Martigny 1,Schweiz
504,Niederhasli,Schweiz
242,Winterthur,Schweiz
434,Luzern,Schweiz
432,Bridgeview,Vereinigte Staaten
623,Secaucus,Vereinigte Staaten
626,"Foxborough, Massachusetts",Vereinigte Staaten
813,Columbus,Vereinigte Staaten
2440,"Washington, D.C.",Vereinigte Staaten
4078,"Montreal, Quebec",Kanada
11141,Toronto,Kanada
25467,Chester,Vereinigte Staaten
40058,New York City,Vereinigte Staaten
45604,"Lake Mary, Florida",Vereinigte Staaten
51663,"Marietta, GA",Vereinigte Staaten
51772,"Cincinnati, Ohio",Vereinigte Staaten
63966,,Vereinigte Staaten
69261,"Miami, Florida",Vereinigte Staaten
78435,"Charlotte, North Carolina",Vereinigte Staaten
218,Santa Clara,Vereinigte Staaten
1061,Carson,Vereinigte Staaten
1247,"Commerce City, Colorado",Vereinigte Staaten
4284,"Leawood, Kansas",Vereinigte Staaten
4291,"Portland, Oregon",Vereinigte Staaten
6321,"Vancouver, British Columbia",Kanada
6643,"Sandy, Utah",Vereinigte Staaten
8816,"Frisco, Texas",Vereinigte Staaten
9168,"Houston, Texas",Vereinigte Staaten
9636,Seattle,Vereinigte Staaten
51828,"Los Angeles, California",Vereinigte Staaten
56089,Golden Valley,Vereinigte Staaten
72309,Austin,Vereinigte Staaten
82686,"St. Louis, Missouri",Vereinigte Staaten
